233	哈哈	4
3q	谢谢	4
????	????	4
???	???	4
??	??	4
？？？？？	？？？？？	4
？？？？	？？？？	4
666	666	4
en	嗯	1
hao	好	1
how	怎么	3
n	n	1
no	不	2
No	不	2
NO	不	2
o	o	1
r	r	5
what	什么	3
why	为什么	3	
yes	yes	1
Yes	yes	1
下一句	下一句	9
不上	不上	2
不不不	不不不	2
不会	不会	2
不会吧	不会吧	2
不会啊	不会啊	2
不会啦	不会啦	2
不会的	不会的	2
不信	不信	2
不准	不准	2
不可以	不可以	2
不可能	不可能	2
不吃	不吃	2
不告诉你	不告诉你	2
不喜欢	不喜欢	2
不在	不在	2
不够	不够	2
不好	不好	2
不好听	不好听	2
不好玩	不好玩	2
不好看	不好看	2
不对	不对	2
不带	不带	2
不干	不干	2
不干嘛	不干嘛	2
不怕	不怕	2
不想	不想	2
不想知道	不想知道	2
不想聊	不想聊	2
不想要	不想要	2
不想说	不想说	2
不愿意	不愿意	2
不懂	不懂	2
不搞	不搞	2
不敢	不敢	2
不明白	不明白	2
不是	不是	2
不是吗	不是吗	4
不是吧	不是吧	2
不是啊	不是啊	2
不是的	不是的	2
不是这个	不是这个	2
不晓得	不晓得	2
不服	不服	2
不服啊	不服啊	2
不来了	不来了	2
不然呢	不然呢	4
不爱	不爱	2
不玩	不玩	2
不用	不用	2
不用了	不用了	2
不看	不看	2
不知	不知	2
不知道，	不知道，	2
不知道	不知道	2
不知道啊	不知道啊	2
不算	不算	2
不约	不约	2
不给	不给	2
不能	不能	2
不能了	不能了	2
不行	不行	2
不行吗	不行吗	4
不行啊	不行啊	2
不要了	不要了	2
不要啦	不要啦	2
不见	不见	2
不见了	不见了	2
不觉得	不觉得	2
不认识	不认识	2
不说	不说	2
不说了	不说了	2
不走	不走	2
不造	不造	2
不错	不错	3
不问	不问	2
不难	不难	2
不需要	不需要	2
不需要了	不需要了	2
?	为什么	3
？？？	为什么	3
？？	为什么	3
？	为什么	3
为什么？	为什么？	3
为什么	为什么	3
为什么呀	为什么呀	3
为什么呢？	为什么呢？	3
为什么呢	为什么呢	3
为什么啊？	为什么啊？	3
为什么啊	为什么啊	3
为什么这么说	为什么这么说	3
为啥？	为啥？	3
为啥	为啥	3
为啥呀	为啥呀	3
为啥啊	为啥啊	3
为毛	为什么	3
么	么	4
么么	么么	4
么么哒	么么哒	4
也好	也好	3
也对	也对	3
也是	也是	3
也是啊	也是啊	3
也行	也行	3
了	了	5
了了	了了	5
什么	什么	7
什么?_?	什么?_?	7
什么？	什么？	7
什么原因	什么原因	4
什么呀	什么呀	7
什么啊	什么啊	7
什么嘛	什么嘛	7
什么意思？	什么意思？	7
什么意思	什么意思	7
什么意思呀	什么意思呀	7
什么意思啊	什么意思啊	7
什么时候	什么时候	7
什么鬼	到底是什么鬼	7
会	会	1
会吗	会吗	4
会吧	会吧	1
会啊	会啊	1
你不是	你不是	2
你不知道？	你不知道？	11
你不知道吗	你不知道吗	11
你么	你么	3
你也是	你也是	4
你也知道	你也知道	11
你也知道啊	你也知道啊	11
你什么意思？	你什么意思？	11
你什么意思	你什么意思	11
你先说	你先说	3
你再说一遍	你再说一遍	11
你再说	你再说	11
你吗？	你吗？	3
你吗	你吗	3
你呢？	你呢？	3
你呢	你呢	3
你咋知道	你咋知道	3
你啊	你啊	1
你啥意思	你啥意思	4
你就是	你就是	1
你快点	你快点	11
你怎么知道	你怎么知道	3
你才是	你才是	3
你才知道啊	你才知道啊	3
你敢	你敢	3
你猜？	你猜	8
你猜	你猜	8
你猜呢	你猜	8
你猜啊	你猜	8
你猜猜	你猜	8
你猜猜看	你猜	8
你的	你的	1
你知道	你知道	4
你知道吗	你知道吗	11
你觉得呢	你觉呢	8
你说不说	你说不说	11
你说了	你说了	9
你说了吗	你说了吗	9
你说什么	你说什么	7
你说	你说	3
你说吗	你说吗	9
你说吧	你说说吧	9
你说呀	你说呀	9
你说呢	你说呢	8
你说啊	你说啊	11
你说啥	你说啥	7
你说怎么办	你说怎么办	4
你说的是什么	你说的到底是什么	7
你说过	你就是说过的	4
你骗人	你骗人	4
假的	假的	2
再说一遍	再说一遍	7
切	切	3
别啊	别啊	2
别扯开话题	别扯开话题	4
别转移话题	别转移话题	4
卧槽	卧槽	3
厉害	厉害	4
原来如此	原来如此	4
去	去	4
又来了	又来了	4
可以	可以	1
可以吗	可以吗	4
可以啊	可以啊	3
可	可	1
吗	吗	4
听不懂	听不懂	4
呃	呃	3
呃呃	呃呃	3
告诉我	告诉我	3
呜呜	呜呜	3
呵	呵	4
呵呵！	呵呵	4
呵呵	呵呵	4
呵呵呵	呵呵呵	4
呵呵呵呵呵	呵呵	4
呵呵呵呵	呵呵呵呵	4
呵呵呵呵呵呵	呵呵	4
呵呵呵呵呵呵呵	呵呵	4
呵呵呵呵呵呵呵呵	呵呵	4
呵呵哒	呵呵哒	4
咋了	咋了	4
咋办	咋办	4
咋	咋	4
咋啦	咋啦	4
咋样	咋样	4
咋滴	咋滴	4
咋的	咋的	4
哈	哈	3
哈哈	哈哈	4
哈哈哈	哈哈	4
哈哈哈哈	哈哈	4
哈哈哈哈哈哈哈	哈哈	4
哈哈哈哈哈哈哈哈	哈哈	4
哈哈哈哈哈哈哈哈哈	哈哈	4
哎呀	哎呀	3
哎	哎	4
哦(⊙o⊙)哦	哦	1
哦呵呵	哦呵呵	4
哦！	哦	1
哦。	哦	1
哦	哦	1
哦哦	哦	1
哦哦哦	哦	1
哦哦哦哦	哦	1
哦好吧	哦好吧	1
哦知道了	哦知道了	4
哪个？	哪个？	4
哪个	哪个	4
哪儿	哪儿	4
哪呢	哪呢	4
哪	哪	4
哪有	哪有	3
哪里	哪里	4
哼	哼	4
唉	唉	4
啊？	啊？	3
啥啊	啥啊	7
啥？	啥？	7
啥	啥	7
啥意思？	你说的啥意思	7
啥意思	你说的啥意思	7
啦啦啦	啦啦啦	5
喜欢	喜欢	4
嗨	嗨	3
嗯呐	嗯呐	1
嗯呢	嗯呢	1
嗯哪	嗯哪	1
嗯哼	嗯哼	3
嗯啊	嗯阿	1
嗯(⊙_⊙)	嗯	1
嗯，	嗯，	1
嗯！	嗯！	1
嗯。	嗯	1
嗯	嗯	1
嗯？	嗯？	4
嗯嗯	嗯	1
嗯嗯嗯嗯	嗯	1
嗯嗯嗯	嗯嗯嗯	1
嗯对	嗯对	1
嗯是	嗯是	1
嗯，是的	嗯，是的	1
嗯是的	嗯是的	1
嘻嘻	嘻嘻	4
嘿嘿	嘿嘿	4
噗	噢	1
噢	噢	1
噢噢	噢噢	1
回答我	回答我	11
在哪？	在哪？	4
在哪	在哪	4
在哪里呢	在哪里呢	4
在哪里	在哪里	4
太好了	太好了	1
奥	奥	1
好了吗	好了吗	4
好了	好了	1
好了没	好了没	4
好吃吗	好吃吗	4
好吗	好吗	4
好吧！	好吧	1
好吧	好吧	1
好吧好吧	好吧	1
好呀	好呀	1
好哇	好哇	1
好哒	好哒	1
好啊	好啊	1
好。	好。	1
好	好	1
好好好	好好好	1
好的	好的	1
如何	如何	4
对了	对了	1
对吗	对吗	1
对吧	对吧	1
对呀！	对呀！	1
对呀	对呀	1
对哦	对哦	1
对啊。	对啊。	1
对啊	对啊	1
对嘛	对嘛	1
对头	对头	1
对！	对！	1
对	对	1
对对对	对对对	3
对滴	对滴	1
对的	对的	1
就不	就不	2
就是你	就是你	3
就是	就是	1
就这样	就这样	3
就酱紫	就酱紫	11
屁	屁	4
干什么	干什么	3
干嘛	干嘛	4
废话	废话	3
当然了	当然了	1
当然可以	当然可以	1
当然咯	当然咯	1
当然啦	当然啦	1
当然	当然	1
很好	很好	4
必须的	必须的	4
快	快	11
快点吧	快点吧	11
快点啦	快点啦	11
快点嘛	快点嘛	11
快点！	快点！	11
快点	快点	11
快点快点	快点快点	11
快点说	快点说	11
快点说话	快点说话	11
快说	快说	11
怎么了？	怎么了？	4
怎么了	怎么了	4
怎么会呢	怎么会呢	4
怎么会	怎么会	4
怎么办	怎么办	4
怎么加	怎么加	4
怎么可能呢	怎么可能呢	4
怎么可能	怎么可能	4
怎么呢	怎么呢	4
怎么啦	怎么啦	4
怎么回事	怎么回事	4
怎么？	怎么？	4
怎么	怎么	4
怎么找	怎么找	4
怎么样	那又怎么样呢	4
怎么滴	怎么滴	4
怎么的	怎么的	4
怎么讲	怎么讲	4
怎么试	怎么试	4
怎么说	怎么说	4
怎么走	怎么走	4
怎样	那又怎么样呢	4
恩	恩	1
恩恩	恩恩	1
恶	恶	1
想不想	想不想	4
愿意	愿意	1
我不会	我不会	2
我不信	我不信	3
我不喜欢	我不喜欢	3
我不想	我不想	2
我不懂	我不懂	2
我不	我不	2
我不是	我不是	2
我不相信	我不相信	3
我不知道啊	我不知道啊	4
我不知道	我不知道	1
我不管	我不管	4
我不要	我不要	4
我不要看	我不要看	4
我不问	我不问	4
我也不知道啊	我也不知道	1
我也不知道	我也不知道	1
我也想	我也想	3
我也是啊	我也是啊	3
我也是	我也是	3
我信	我信	3
我去	我去	4
我喜欢	我喜欢	3
我就是	我就是	3
我就知道	我就知道	3
我怎么知道	我怎么知道	8
我想	我想	1
我想知道	我想知道	11
我才不呢	我才不	4
我操	我操	3
我擦	我擦	3
我是	我是	1
我有	我有	3
我没有	我没有	2
我爱	我爱	3
我的	我的	1
我知道了	我知道了	3
我知道呀	我知道呀	3
我知道啊	我知道啊	3
我知道	我知道	3
我要	我要	1
我说了	我说了	4
我说你呢	我说你呢	4
我说你	我说你	10
我说的是你	我说的是你	4
我问你呢	我问你呢	11
我问你	我问你	11
我问你话呢	我问你话呢	11
我靠	我靠	3
才怪	才怪	4
扯淡	扯淡	3
拒绝	拒绝	2
握爪	握爪	3
摁	嗯	1
擦	操	3
无聊	真的很无聊	4
日	日	3
昂	啥	4
是么	是吗	4
是什么？	到底是什么？	4
是什么	到底是什么	4
是什么呀	到底是什么呀	4
是你吧	是你吧	7
是你	是你	7
是吗？	是吗？	4
是吗	是吗	4
是吧	是吧	1
是呀	是呀	1
是哒	是哒	1
是哦	是哦	1
是啊。	是啊。	1
是啊	是啊	1
是嘛	是嘛	1
是	是	1
是？	是什么呢？	4
是滴	是滴	1
是的呢	是的呢	1
是的	是的	1
是谁呀	是谁呀	4
是谁啊	是谁啊	4
是谁	是谁	4
是阿	是阿	1
晓得了	晓得了	3
有吗	有吗	3
有呀	有呀	1
有哇	有哇	1
有啊	有啊	1
有啥	有啥	4
有	有	1
有没有	有没有	4
有道理	有道理	3
木有	木有	2
来了	来了	4
来	来	4
比如？	比如？	4
比如	比如	4
没了	没了	2
没事了	没事了	3
没事啊	没事啊	3
没事	没事	3
没事的	没事的	3
没什么	没什么	4
没啥	没啥	2
没啦	没啦	2
没意思	没意思	3
没懂	没懂	4
没有了	没有了	4
没有呀	没有呀	3
没有呢	没有呢	4
没有啊	没有啊	3
没有啦	没有啦	4
没有，	没有，	2
没有	没有	2
没有的	没有的	4
没	没	2
没用	没用	2
没看懂	没看懂	4
没看	没看	2
没看过	没看过	4
没错	没错	1
然后呢？	然后呢？	4
然后呢	然后呢	4
然后嘞	然后呢	4
然后？	然后呢？	4
然后	然后呢	4
猜	你猜	8
猜吧	你猜	8
猜猜	你猜	8
猜猜看	你猜	8
的	的	5
看不懂	看不懂	4
真的假的	真的假的	4
真的吗？	真的吗	4
真的吗	真的吗	4
真的	真的	11
真的？	真的?	4
瞎说	瞎说	4
知道了	知道了	4
知道了谢谢	知道了谢谢	4
知道吗	知道吗	4
知道啊	知道啊	4
知道啦	知道啦	4
知道就好	知道就好	4
知道	知道	3
确定	确定	1
确定？	确定？	3
确实	确实	3
答对了	答对了	3
答对	答对	3
算了	算了	2
算是吧	算是吧	1
算	算	1
纳尼	什么	3
给	给	1
继续啊	继续啊	11
继续	继续	11
继续说	继续说	11
肯定的	肯定的	4
肯定	肯定	4
胡扯	胡扯	2
