好吧	366139
嗯	350243
哈哈	322364
额	235385
别聊这么深奥的问题	226987
谢谢	214011
我	211066
么么哒	207539
呵呵	188360
好	161058
没有	147284
嘿嘿	128614
你	125766
嗯嗯	124553
对啊	113739
晚安	108419
哦哦	101064
有	98288
你的	97923
哈哈哈	96133
恩	94670
不	93584
啵啵啵	90092
切	88547
哦	87332
对	86779
没事	85134
好的	83492
那就这么愉快地决定啦	81963
又好	81404
这次好什么了	81387
噢耶斯···	79907
拜拜	79288
不是	76573
不知道	76444
再见	75662
乖	71036
是啊	65767
你好	63326
你可以任性去理解	59872
在思考吗	59833
也太	59595
光靠问号就表达了自己	59415
亲	58532
啊哈	56682
摸摸头	55031
错了	53814
啊	52430
再见来不及挥手	51956
哎	51068
我啊	50129
是的	49570
你舍得跟我再见嘛	47765
恭喜你	47587
么么	46819
握爪	46641
好冷淡的回答(><)	46117
你就会嗯恩嗯	45799
你嗯嗯嗯什么	45688
看我聪明吧~	45624
我明白了	45593
这是要我怎么回	45565
我滴个乖乖	45560
我太厉害了	45428
嗯什么嗯	45168
哼	45086
别呀	45025
你啊	43810
不要无语	42588
我们交个朋	42510
能不能说点	42441
你别无语	42439
你除了说无语还能说点	41830
你无语了就没人	41795
执手相看泪眼	41359
竟无语	41312
无语凝噎	41230
喵了个咪的	40988
把酒问青天	40954
哈	40779
同意得这么无奈让人好	40385
笑什么啊	40209
好呀	40056
有那么好笑吗	39858
安好	39839
不许傻笑	39618
幸灾乐祸吧	39614
怎么笑	39483
不要笑得这么豪放我都	39464
不好意思	38991
回见	38744
88	38364
没什么	38090
讨厌	38005
我有这么容易让你无语	37578
人家好桑心	37480
哈哈拜拜	37466
嘻嘻	37398
打省略号成为流行	37301
干嘛无语	37295
你倒	37249
点点圈	37191
圈点点	37191
聊天止于呵呵	37145
哎呀	36676
mua~~	36578
可好	36497
没	36497
我最讨厌呵呵这俩字	36081
不知道呵呵是骂人的话	35866
我讨厌呵呵	35831
我也是	35721
善意的呵呵还是嘲讽的	35556
动不动你就呵呵我	35386
